Data,Views do Blog,Média Móvel de 7 dias,Média Móvel de 3 dias,Média Móvel de 21 dias
28-Sep-2008,1255,1531.357143,1562.333333,1524.880952
29-Sep-2008,1745,1570.428571,1552,1541.02381
30-Sep-2008,1656,1615.142857,1692.333333,1550.309524
1-Oct-2008,1676,1607.142857,1677,1539.642857
2-Oct-2008,1699,1620.142857,1654.333333,1551.785714
3-Oct-2008,1588,1602.285714,1639.333333,1558.261905
4-Oct-2008,1631,1620.428571,1521.666667,1548.642857
5-Oct-2008,1346,1571,1532.333333,1555.404762
6-Oct-2008,1620,1572.428571,1583,1551.619048
7-Oct-2008,1783,1581.714286,1577.666667,1556.380952
8-Oct-2008,1330,1534.857143,1607.333333,1548.142857
9-Oct-2008,1709,1565.857143,1564,1559.047619
10-Oct-2008,1653,1575.142857,1555,1538.52381
11-Oct-2008,1303,1508.428571,1506.333333,1528.47619
12-Oct-2008,1563,1563.857143,1517,1519.619048
13-Oct-2008,1685,1512,1521.333333,1502.142857
14-Oct-2008,1316,1472.285714,1573,1495.952381
15-Oct-2008,1718,1502.428571,1460,1480.428571
16-Oct-2008,1346,1491.142857,1479.666667,1486.619048
17-Oct-2008,1375,1438.142857,1411.666667,1478.52381
18-Oct-2008,1514,1456.571429,1457.666667,1470.47619
19-Oct-2008,1484,1424,1437.333333,1475.095238
20-Oct-2008,1314,1422,1414.333333,1461.809524
21-Oct-2008,1445,1433.857143,1416.333333,1449.761905
22-Oct-2008,1490,1404,1422.333333,1463.285714
23-Oct-2008,1332,1402.857143,1426.666667,1455.619048
24-Oct-2008,1458,1422.285714,1365,1445.333333
25-Oct-2008,1305,1446.428571,1413,1451.47619
26-Oct-2008,1476,1437.428571,1410.333333,1437.333333
27-Oct-2008,1450,1451.428571,1513.333333,1441.619048
28-Oct-2008,1614,1443.142857,1497,1438.619048
29-Oct-2008,1427,1483.428571,1490.333333,1434.714286
30-Oct-2008,1430,1472.857143,1419,1448.809524
31-Oct-2008,1400,1475.571429,1472.333333,1450.761905
1-Nov-2008,1587,1451.428571,1463,1452.238095
2-Nov-2008,1402,1450.571429,1486,1450.428571
3-Nov-2008,1469,1451.428571,1438.666667,1464
4-Nov-2008,1445,1438.857143,1445,1475.333333
5-Nov-2008,1421,1416.714286,1434,1483.904762
6-Nov-2008,1436,1470.714286,1389.666667,1493.714286
7-Nov-2008,1312,1454.428571,1393.333333,1504.809524
8-Nov-2008,1432,1458.857143,1508,1495.571429
9-Nov-2008,1780,1463.285714,1522.333333,1506.52381
10-Nov-2008,1355,1489.142857,1537,1521.571429
11-Nov-2008,1476,1544,1427.666667,1531.666667
12-Nov-2008,1452,1551.571429,1515,1539.904762
13-Nov-2008,1617,1537.571429,1588.333333,1556.52381
14-Nov-2008,1696,1584.428571,1599.333333,1557.380952
15-Nov-2008,1485,1576.428571,1621,1573.52381
16-Nov-2008,1682,1605.714286,1616.666667,1571.571429
17-Nov-2008,1683,1624.142857,1595,1585.190476
18-Nov-2008,1420,1612.142857,1586.666667,1606.428571
19-Nov-2008,1657,1651.428571,1607.666667,1620.761905
20-Nov-2008,1746,1661.285714,1671.666667,1617.52381
21-Nov-2008,1612,1633.285714,1706,1627.285714
22-Nov-2008,1760,1685.285714,1707.666667,1630.333333
23-Nov-2008,1751,1645.714286,1666,1641.190476
24-Nov-2008,1487,1642.285714,1674,1635.285714
25-Nov-2008,1784,1663.142857,1550.333333,1631.952381
26-Nov-2008,1380,1659.285714,1628.666667,1647.095238
27-Nov-2008,1722,1653.714286,1620,1630.952381
28-Nov-2008,1758,1664.142857,1737.666667,1619.238095
29-Nov-2008,1733,1629.285714,1734.333333,1632.380952
30-Nov-2008,1712,1672.142857,1668.333333,1633.285714
1-Dec-2008,1560,1639.428571,1604,1628.857143
2-Dec-2008,1540,1620.571429,1593.333333,1629.047619
3-Dec-2008,1680,1630.571429,1571,1626.02381
4-Dec-2008,1493,1577.857143,1599.666667,1627.261905
5-Dec-2008,1626,1560.285714,1640.666667,1634.690476
6-Dec-2008,1803,1582.571429,1590.666667,1619.119048
7-Dec-2008,1343,1582,1527.666667,1622.119048
8-Dec-2008,1437,1604.857143,1492,1605.833333
9-Dec-2008,1696,1603.428571,1603,1603.02381
10-Dec-2008,1676,1588.214286,1675,1605.452381
11-Dec-2008,1653,1650.214286,1648.333333,1598.452381
12-Dec-2008,1616,1679.642857,1655.166667,1609.071429
13-Dec-2008,1696.5,1645.5,1696.5,1612.166667
14-Dec-2008,1777,1612.214286,1705.5,1596.5
15-Dec-2008,1643,1573.214286,1625.666667,1611.642857
16-Dec-2008,1457,1585.071429,1514.333333,1619.166667
17-Dec-2008,1443,1597.571429,1426.666667,1603.97619
18-Dec-2008,1380,1567.285714,1507.333333,1605.642857
19-Dec-2008,1699,1587.285714,1621,1614.214286
20-Dec-2008,1784,1608.428571,1682.666667,1614.071429
21-Dec-2008,1565,1595.285714,1710.666667,1604.02381
22-Dec-2008,1783,1656.857143,1651,1594.404762
23-Dec-2008,1605,1669,1579.666667,1591.452381
24-Dec-2008,1351,1626.142857,1589,1592
25-Dec-2008,1811,1599.428571,1648.666667,1586.47619
26-Dec-2008,1784,1575.714286,1693,1591.095238
27-Dec-2008,1484,1588.285714,1548.666667,1600.904762
28-Dec-2008,1378,1604.571429,1493,1615.285714
29-Dec-2008,1617,1553.142857,1562.666667,1626.904762
30-Dec-2008,1693,1520.285714,1591.666667,1620.571429
31-Dec-2008,1465,1552.285714,1536.333333,1615.095238
1-Jan-2009,1451,1592.714286,1490,1609.571429
2-Jan-2009,1554,1610.285714,1571,1602.47619
3-Jan-2009,1708,1606,1641,1606.809524
4-Jan-2009,1661,1646,1703,1626.190476
5-Jan-2009,1740,1670.714286,1688,1619.190476
6-Jan-2009,1663,1672.428571,1716,1600.285714
7-Jan-2009,1745,1666.857143,1677.333333,1601.857143
8-Jan-2009,1624,1636.571429,1645,1602.952381
9-Jan-2009,1566,1621.428571,1619.666667,1604.285714
10-Jan-2009,1669,1626.142857,1561.333333,1584.238095
11-Jan-2009,1449,1628,1584,1594.761905
12-Jan-2009,1634,1633.714286,1593,1599.666667
13-Jan-2009,1696,1608.142857,1696,1602
14-Jan-2009,1758,1586.428571,1706,1580.52381
15-Jan-2009,1664,1579.571429,1603,1576.285714
16-Jan-2009,1387,1581.142857,1522.666667,1574.380952
17-Jan-2009,1517,1520.571429,1435,1568.714286
18-Jan-2009,1401,1510.285714,1521,1556.571429
19-Jan-2009,1645,1494.571429,1439.333333,1549.47619
20-Jan-2009,1272,1525.428571,1534.333333,1555.380952
21-Jan-2009,1686,1488.285714,1504,1547.952381
22-Jan-2009,1554,1512.714286,1614.333333,1557.333333
23-Jan-2009,1603,1520.571429,1471.333333,1553.952381
24-Jan-2009,1257,1559.428571,1477.333333,1535.619048
25-Jan-2009,1572,1531.428571,1509.666667,1526.904762
26-Jan-2009,1700,1520.142857,1605.333333,1525.904762
27-Jan-2009,1544,1532.571429,1578,1526.904762
28-Jan-2009,1490,1569.142857,1503,1522.619048
